time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1712265845364542500,0.3315424805,75.39196777,1.730809093,2.107373953,13.09599972,0.7074577212,79.1942749,10.69999981,-82.3469493,29.6447111
1712265846364443100,1.331443115,27.18998146,1.61623013,2.119520664,11.92599964,1.741531491,90.7292099,10.69999981,-82.3469304,29.6447066
1712265847364471800,2.331471924,33.26196289,1.331465364,2.130586147,10.9630003,1.643200874,119.3595657,10.69999981,-82.3469324,29.6446968
1712265847891289900,2.858289795,45,0.3775179982,2.130586147,10.64400005,1.381052732,134.2128143,10.69999981,-82.3469292,29.6446904
1712265848385645800,3.352645752,45,0.4084234834,2.130586147,10.52000046,1.309465766,141.1038971,10.69999981,-82.3469267,29.6446849
1712265849012276000,3.979275879,45,0.3930826187,2.146978378,7.775000095,0.9470208883,167.7725067,10.69999981,-82.3469399,29.6446795
1712265849364333300,4.331333252,45,0.4046962559,2.150723934,7.611000061,1.333155394,174.0986786,10.69999981,-82.3469559,29.6446764
1712265849495835100,4.462835205,45,0.4249481857,2.150723934,7.203000069,1.432563066,175.8864441,10.69999981,-82.3469611,29.6446747
1712265850096864500,5.063864502,45,0.4476686418,2.150723934,7.111000061,1.497543931,176.2345428,10.69999981,-82.3469647,29.6446665
1712265850365142800,5.332142822,45,0.450768292,2.160608292,6.863999844,1.006695628,176.640625,10.69999981,-82.3469692,29.6446684
1712265850616584400,5.583584473,45,0.4303658009,2.160608292,6.803999901,0.8245925307,177.2842865,10.69999981,-82.3469709,29.6446694
1712265851196488700,6.16348877,45,0.4421192706,2.160608292,6.765999794,0.7381844521,179.9038696,10.69999981,-82.3469719,29.644668
1712265851365174800,6.332174805,45,0.4337897003,2.170581579,6.714000225,0.7565708756,204.0713348,10.69999981,-82.3469793,29.6446683
1712265851708616400,6.675616455,45,0.2778655589,2.170581579,6.683000088,0.9195266366,213.1229248,10.69999981,-82.3469845,29.6446663
1712265852269548300,7.23654834,45,0.3017036617,2.170581579,6.684000015,1.034514189,216.8715363,10.69999981,-82.34699,29.6446627
1712265852364524300,7.33152417,45,0.1679353118,2.180577755,6.709000111,1.108270526,216.9052124,10.69999981,-82.3469932,29.6446616
1712265852771422200,7.738422119,45,0.2197559625,2.180577755,6.614999771,1.199233651,210.9734497,10.69999981,-82.3469958,29.6446577
1712265853351039500,8.318039551,45,0.2544846237,2.180577755,6.456999779,1.221636653,207.799469,10.69999981,-82.3469988,29.6446523
1712265853364338400,8.331338379,45,0.220694989,2.190764904,6.377999783,1.240096807,206.841095,10.69999981,-82.3469995,29.6446522
1712265853834075600,8.801075684,45,0.2092806399,2.190764904,6.15899992,1.291140318,200.6073456,10.69999981,-82.3469992,29.6446463
1712265854364992800,9.331992676,45,0.2290101498,2.200758696,5.947000027,1.311475277,196.0255737,10.69999981,-82.3470006,29.6446396
1712265854398281700,9.365281738,45,0.2290101498,2.200758696,5.876999855,1.306297779,194.2765656,10.69999981,-82.3470004,29.644639
1712265854896904700,9.863904785,45,0.2280450761,2.200758696,5.745999813,1.299034595,189.5027924,10.69999981,-82.3469981,29.6446314
1712265855365249000,10.33224902,45,0.2065473348,2.210578203,5.538000107,1.308804035,187.6157227,10.69999981,-82.3469977,29.6446244
1712265855496520700,10.46352075,45,0.2134296447,2.210578203,5.397999763,1.303855062,185.8696899,10.69999981,-82.3469962,29.6446218
1712265855505709600,10.47270947,45,0.2134296447,1.961402297,5.275000095,1.301954746,185.1018372,10.69999981,-82.3469955,29.6446213
1712265855931298300,10.89829834,45,0.2134296447,1.961402297,5.104000092,1.300341964,183.8504944,10.69999981,-82.3469951,29.6446151
1712265856364216000,11.33121606,45,0.2121551782,1.965267539,4.892000198,1.31548357,181.4690399,10.69999981,-82.346997,29.6446102
1712265856589249800,11.55624976,45,0.2188178152,1.965267539,4.664999962,1.30567503,179.8485413,10.69999981,-82.3469973,29.6446071
1712265856995445500,11.96244556,45,0.2188178152,1.965267539,4.456999779,1.303344846,178.4970093,10.69999981,-82.3469971,29.6446016
1712265857364471600,12.33147144,45,0.2259361893,1.97071588,4.225999832,1.31000793,178.5132294,10.69999981,-82.3469987,29.6445974
1712265857594309000,12.56130908,45,0.1691806614,1.97071588,4.068999767,1.323234916,179.1459045,10.69999981,-82.3469988,29.6445942
1712265858096084200,13.06308423,45,0.2210914046,1.97071588,3.91899991,1.319745779,181.0457458,10.69999981,-82.3469989,29.6445875
1712265858364532500,13.33153247,45,0.2265544385,1.973774076,3.637000084,1.342881322,182.792572,10.69999981,-82.3470008,29.6445839
1712265858637653500,13.60465356,45,0.1644787192,1.973774076,3.59800005,1.334923387,183.3577423,10.69999981,-82.3470012,29.6445803
1712265859130445300,14.09744531,45,0.2211225629,1.973774076,3.476000071,1.325843334,184.6726074,10.69999981,-82.3470018,29.6445738
1712265859364729900,14.33172974,45,0.1407195926,1.98319912,3.447999954,1.332439303,185.5926514,10.69999981,-82.3470034,29.6445709
