time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1713398494086282000,1.708281982,11.60657501,-1,-1,29.644825,-1,38,13.56123829,-82.34339596,-1
1713398494152131000,1.774131104,11.60657501,-1,-1,29.64482502,-1,38,6.248726845,-82.3433959,-1
1713398494169708000,1.791708008,11.60657501,-1,-1,29.64482503,-1,38,3.589646578,-82.34339585,-1
1713398494224164900,1.846164795,11.60657501,-1,-1,29.64482506,-1,38,2.348870039,-82.34339577,-1
1713398494871155000,2.493155029,11.60657501,-1,-1,29.64482503,-1,38,2.656953335,-82.34339494,-1
1713398495240977200,2.862977051,19.80175781,0.7099999785,61.85847565,29.64472693,222.1875,18.81558339,12,-82.3434353,0.5600000024
1713398496020078800,3.642078857,13.00378418,1.00999999,69.21902901,29.64466868,199.6875,15.0596222,6,-82.34338316,0.6399999857
1713398497046201900,4.668201904,11.83703613,0.8999999762,7.337020796,29.64466528,189.84375,15.02847088,4,-82.34341602,0.6399999857
1713398498034320100,5.656320068,12.67565918,0.9100000262,11.23489876,29.6446592,189.84375,14.26776723,3,-82.34341501,1.139999986
1713398499033841000,6.65584082,14.4296875,0.1099999994,8.601378458,29.64465522,182.109375,14.26776723,3,-82.34342767,1.139999986
1713398500025135000,7.64713501,13.79278564,0.4799999893,6.009761361,29.64464286,183.8671875,14.26776723,3,-82.34342683,1.129999995
1713398500999956700,8.621956787,13.60791016,0.8999999762,8.81106185,29.64463221,183.8671875,14.26776723,3,-82.34342641,1.129999995
1713398501999956500,9.621956543,13.18927002,0.07999999821,4.87081323,29.64462295,187.3828125,14.26776723,3,-82.34342918,1.129999995
1713398502999958000,10.62195801,12.23144531,0.0700000003,3.762826773,29.6446113,188.0859375,14.26776723,3,-82.34342465,1.149999976
1713398503999957200,11.62195728,12.34777832,0.1000000015,5.754809609,29.64460103,193.7109375,14.26776723,3,-82.34342826,1.169999957
1713398504999958500,12.6219585,12.79931641,0.07999999821,4.443905489,29.6445906,172.96875,14.26776723,3,-82.34342993,1.24000001
1713398505999958000,13.62195801,12.86047363,0.8999999762,12.8754069,29.64458205,190.546875,14.26776723,3,-82.34343136,1.24000001
1713398506999956500,14.62195654,12.45892334,0.9599999785,14.41391384,29.64457513,190.546875,14.26776723,3,-82.34343253,0.8899999857
1713398507999962400,15.6219624,12.45892341,0.9599999785,14.41391384,29.64456724,190.5468742,15.46239281,8.083021829,-82.34343421,0.8899999857
1713398508999960300,16.62196021,12.84228523,0.7186018149,4.816360827,29.64455844,182.4609373,15.46239242,8.083022574,-82.3434341,0.8899999857
1713398509999956200,17.6219563,12.67462167,0.7186018149,4.473621935,29.64454783,183.8671871,15.46239197,8.083023441,-82.3434356,1.039999962
1713398510999958000,18.62195801,12.6951906,0.7186018149,3.013631647,29.64453391,189.4921863,15.46239138,8.083024561,-82.34343983,1.429999948
1713398511999959000,19.62195898,12.69256603,0.7186018149,3.491816819,29.64452554,189.1406241,15.46239092,8.08302544,-82.34344221,1.149999976
1713398512999959000,20.62195898,12.49517834,0.9200000167,9.541686332,29.64451639,184.9218745,15.46239052,8.083026219,-82.34344243,1.149999976
1713398513999961300,21.62196143,12.07116707,0.9100000262,12.26164866,29.64450954,184.5703121,15.4623902,8.083026825,-82.34344121,0.9700000286
1713398514999961300,22.62196143,12.12854015,0.7186018149,6.144649059,29.64449854,176.1328129,15.46238979,8.083027606,-82.34343778,1.129999995
1713398515999959600,23.62195947,12.48193373,0.7186018149,3.480228763,29.64448592,181.4062498,15.46238927,8.083028599,-82.34343839,1.289999962
1713398516999957800,24.62195776,12.77423108,0.7186018149,9.620808097,29.64447618,185.6249994,15.46238881,8.083029477,-82.34343996,1.210000038
1713398517999955500,25.62195557,12.90228284,0.7186018149,6.840741385,29.6444663,186.3281243,15.46238836,8.083030345,-82.34344154,1.210000038
1713398518999954200,26.6219541,13.17614757,0.7186018149,4.107595085,29.64445821,178.2421877,15.46238799,8.083031051,-82.34344064,1.120000005
